,Apt,Rooms,Surface,Picture_Url,Location,Date,Price
368,Penthouse à louer aux almadies,3 chambre,450 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/8e25f2d9ced2029e4d0e3a1cc8da2a55/-/horizon-files-prod/ed/picture/q9m0xm67/cba0c6eec1bf39386471086a8ea362836ef7e8a7.jpg,"['Almadies,', 'Dakar']","29. nov. '22, 12:58","['1', '700', '000 F Cfa']"
369,Appartement type F3 à louer,2 chambre,250 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/071dfb008f81b8cff5307c504a8952a9/-/horizon-files-prod/ed/picture/qxjdnjkv/14e3deb8f3e9cdc3e9d01f651f11f777d704695b.jpg,"['Mermoz,', 'Dakar']","29. nov. '22, 12:45","['650', '000 F Cfa']"
370,Magnifique duplex à louer au virage,4 chambre,250 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/6c08fc18b8fd3d03a2dfafbf8a8227fe/-/horizon-files-prod/ed/picture/q2pn05g/9fa7de36e7680dd9373fe7d28326604ae4a5a502.jpg,"['Virage,', 'Dakar']","7. déc. '22, 12:04","['750', '000 F Cfa']"
371,Appartement 3 chambres à MERMOZ,3 chambre,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/dfc293beeb15919cf49f49eca4b9e0c9/-/horizon-files-prod/ed/picture/qrz2kx04/a4ddf20224dccbb48b5344109d021586df662abd.jpg,"['Plateau,', 'Dakar']","28. nov. '22, 11:55","['1', '500', '000 F Cfa']"
372,A louer boulevard Charles de Gaulle en face BCEAO,3 chambre,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/b72dc1e82e33caa5f481c536338b7485/-/horizon-files-prod/ed/picture/q2jz2qm2/296c7e6ce04385c7f10334d40dc1c4bf5da35a81.jpg,"['Plateau,', 'Dakar']","29. nov. '22, 10:46","['1', '200', '000 F Cfa']"
373,Un appartement à louer à ngor Almadies,,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/68f73bf1229fcf6b86e4d015ca2b1752/-/horizon-files-prod/ed/picture/qzv25099/b2e314f1aa28d96ee3715d6c1d4ccf267eea62fb.jpg,"['Almadies,', 'Dakar']","29. nov. '22, 08:55","['500', '000 F Cfa']"
374,Appartement à louer Cité Imprimerie à coté HLM Rufisque,2 chambre,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/be6086e9d768ef2575e8b1347913ca24/-/horizon-files-prod/ed/picture/q7zdnjz/3bdb9685caa5115a9975f3177820b046d0e1941e.jpg,"['Rufisque,', 'Dakar']","7. oct. '22, 10:14","['175', '000 F Cfa']"
375,Chambres salle de bain à louer,1 chambre,100 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/2441d8c64185245f74288bcdfc644ee3/-/horizon-files-prod/ed/picture/qgq596ze/d15af0677c6cc1ebe5c0b52db309cc783e29657c.jpg,"['Mamelles,', 'Dakar']","29. nov. '22, 05:15","['250', '000 F Cfa']"
376,Appartement à louer,2 chambre,150 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/71b7fd307539f5e93d4055698bc5a236/-/horizon-files-prod/ed/picture/qm5mkd2z/bde45cf4df2ab46eb5c276f99da657377d4615fd.jpg,"['Grand-Dakar,', 'Dakar']","29. nov. '22, 05:01","['250', '000 F Cfa']"
377,SUPERBE APPARTEMENT F5 À MERMOZ,4 chambre,300 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/ab838c46d40dd1bcfa06fdbb69ac31f1/-/horizon-files-prod/ed/picture/q56w2g4r/a47584a8815d1c6e4cd3028b7c9f9459c103b63b.jpg,"['Mermoz,', 'Dakar']","lundi, 21:26","['2', '000', '000 F Cfa']"
