title,author,runtime
The Power to Change,Craig Groeschel, 5 hrs and 42 mins
Dead Mountain,"Douglas Preston,Lincoln Child", 12 hrs
The Woman in Cabin 10,Ruth Ware, 11 hrs and 16 mins
Starship Troopers,Robert A. Heinlein, 9 hrs and 52 mins
Icebreaker,Hannah Grace, 13 hrs and 23 mins
The Critic's Daughter,Priscilla Gilman, 11 hrs and 10 mins
Giovanni's Room,James Baldwin, 6 hrs and 49 mins
The Idiot,Fyodor Dostoyevsky, 24 hrs and 56 mins
The Alienist,Caleb Carr, 20 hrs
The Law of Success,Napoleon Hill, 24 hrs and 19 mins
Attuned Earth,Frank G. Albelo, 11 hrs and 44 mins
Golden,Shannon Mayer, 7 hrs and 30 mins
"Tinker, Tailor, Soldier, Spy",John le Carré, 12 hrs and 49 mins
Candy Bomb,M.R. Forbes, 9 hrs
Homo Deus,Yuval Noah Harari, 14 hrs and 54 mins
Yes Please,Amy Poehler, 7 hrs and 31 mins
The Cuckoo's Calling,Robert Galbraith, 15 hrs and 54 mins
No Excuses!,Brian Tracy, 6 hrs and 51 mins
Fear,Thích Nhất Hạnh, 4 hrs and 18 mins
Iron Gold,Pierce Brown, 23 hrs and 23 mins
The Seven Spiritual Laws of Success,Deepak Chopra MD, 1 hr and 26 mins
The Personal MBA: Master the Art of Business,Josh Kaufman, 15 hrs and 25 mins
The Meaning of Marriage,Timothy Keller, 8 hrs and 15 mins
Rocket Fuel,"Gino Wickman,Mark C. Winters", 4 hrs and 26 mins
Bringing Up Bébé,Pamela Druckerman, 9 hrs and 8 mins
The Speed of Trust,Stephen M. R. Covey, 12 hrs and 13 mins
Origin,Dan Brown, 18 hrs and 10 mins
A Walk in the Woods,Bill Bryson, 9 hrs and 44 mins
Give and Take,Adam M. Grant PhD, 11 hrs and 50 mins
Lemuria,Greig Beck, 11 hrs and 7 mins
The Rock of Battle,Peter Nealen, 11 hrs and 27 mins
The Courage to Face Covid-19,"John Leake,Peter A. McCullough", 9 hrs and 57 mins
The Real Frank Zappa Book,"Frank Zappa,Peter Occhiogrosso - with", 10 hrs and 37 mins
Standing Dead,Margaret Mizushima, 9 hrs and 38 mins
Magitech Chronicles Omnibus,Chris Fox, 108 hrs and 51 mins
King of the Shadow Fae,Amelia Hutchins, 8 hrs and 32 mins
It Ends with Violence,Elle Thorpe, 9 hrs and 56 mins
Never Finished,David Goggins, 11 hrs and 6 mins
Emery,Cora Rose, 7 hrs and 54 mins
Before We Were Yours,Lisa Wingate, 14 hrs and 29 mins
Hot Spots,N.C. Reed, 8 hrs and 55 mins
Dragon's Justice 6,Bruce Sentar, 10 hrs and 44 mins
Twisted Love,Ana Huang, 10 hrs and 41 mins
"If This Book Exists, You're in the Wrong Universe","Jason Pargin,David Wong", 14 hrs and 25 mins
The Marxification of Education,James Lindsay, 7 hrs and 15 mins
Smart Brevity,"Jim VandeHei,Mike Allen,Roy Schwartz", 3 hrs and 1 min
Persuasion,Jane Austen, 5 hrs and 40 mins
Build a Mathematical Mind - Even If You Think You Can't Have One,Albert Rutherford, 2 hrs and 6 mins
The Wind Thief,B. B. Griffith, 8 hrs and 44 mins
Finding Ashlyn,Susan Stoker, 10 hrs and 24 mins
"A Love Like This, Pt. 1",Kya Montague, 7 hrs and 38 mins
Entering Hekate's Cave,Cyndi Brannen, 9 hrs and 15 mins
Rogue Element,Silas Keplar, 17 hrs and 3 mins
Medical Medium Brain Saver,Anthony William, 29 hrs and 16 mins
The Tenth Realm,Michael Chatfield, 6 hrs and 34 mins
The Watchmaker's Daughter,C. J. Archer, 9 hrs and 21 mins
Fated Mates of Adonia: Complete 3-Book Series Set,Ivy Sparks, 18 hrs and 34 mins
Mark of the Fool,J.M. Clarke, 19 hrs
Willow Brook Road,Sherryl Woods, 10 hrs and 16 mins
Divorcing a Narcissist,"Supriya McKenna,Karin Walker", 14 hrs and 1 min
The Return of the Gods,Jonathan Cahn, 8 hrs and 34 mins
The Inmate,Freida McFadden, 8 hrs and 5 mins
Maisie Dobbs,Jacqueline Winspear, 9 hrs and 47 mins
River Sing Me Home,Eleanor Shearer, 10 hrs and 35 mins
The Wind-Up Bird Chronicle,Haruki Murakami, 26 hrs and 11 mins
The Power of One More,Ed Mylett, 5 hrs and 19 mins
The Pain We Carry,"Natalie Y. Gutiérrez LMFT,Jennifer Mullan PsyD - foreword", 7 hrs and 30 mins
Life,"Keith Richards,James Fox", 23 hrs and 5 mins
Almost Interesting,David Spade, 6 hrs and 32 mins
Cannery Row,John Steinbeck, 5 hrs and 59 mins
The Way of the Hunter,Samer Rabadi, 19 hrs and 22 mins
Be an Angel,Roma Downey, 4 hrs and 21 mins
Into the Headwinds,"Terryl Givens,Nathaniel Givens", 3 hrs and 41 mins
In Silence She Screams,Amo Jones, 11 hrs and 6 mins
