,Title,Year,Certification,Time,Genre,Star,Meta,Resume,Director,Actors,Vote,Gross
10,Jerusalema,(2008),R,119 min,"Action, Crime, Drama",7.3,53,A young hoodlum's rise from a small-time criminal to a powerful crime entrepreneur during the turbulent years before and after the fall of apartheid.,Ralph Ziman,"['Ralph Ziman', 'Rapulana Seiphemo', 'Jeffrey Sekele', 'Ronnie Nyakale', 'Shelley Meskin']","10,705",$0.00M
11,Yesterday,(I) (2004),R,90 min,Drama,7.5,None,"After falling ill, Yesterday learns that she is HIV positive. With her husband in denial and young daughter to tend to, Yesterday's one goal is to live long enough to see her child go to school.",Darrell Roodt,"['Darrell Roodt', 'Leleti Khumalo', 'Lihle Mvelase', 'Kenneth Khambula', 'Harriet Lenabe']","2,398",None
12,Rebelle,(2012),None,90 min,"Drama, War",7,84,"Somewhere in Sub-Saharan Africa, Komona, a 14-year-old girl, tells her unborn child growing inside her the story of her life since she has been at war. Everything started when she was abducted by the rebel army at the age of 12.",Kim Nguyen,"['Kim Nguyen', 'Rachel Mwanza', 'Alain Lino Mic Eli Bastien', 'Serge Kanyinda', 'Ralph Prosper']","7,366",$0.07M
13,Timbuktu,(2014),PG-13,96 min,"Drama, War",7.1,92,A cattle herder and his family who reside in the dunes of Timbuktu find their quiet lives -- which are typically free of the Jihadists determined to control their faith -- abruptly disturbed.,Abderrahmane Sissako,"['Abderrahmane Sissako', 'Ibrahim Ahmed', 'Abel Jafri', 'Toulou Kiki', 'Layla Walet Mohamed']","17,623",$1.08M
14,Queen of Katwe,(2016),PG,124 min,"Biography, Drama, Sport",7.4,73,A Ugandan girl sees her world rapidly change after being introduced to the game of chess.,Mira Nair,"['Mira Nair', 'Madina Nalwanga', 'David Oyelowo', ""Lupita Nyong'o"", 'Martin Kabanza']","17,682",$8.81M
15,Zulu,(1964),None,138 min,"Drama, History, War",7.7,77,Outnumbered British soldiers do battle with Zulu warriors at Rorke's Drift.,Cy Endfield,"['Cy Endfield', 'Stanley Baker', 'Jack Hawkins', 'Ulla Jacobsson', 'James Booth']","39,914",None
16,Blood Diamond,(2006),R,143 min,"Adventure, Drama, Thriller",8,64,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.",Edward Zwick,"['Edward Zwick', 'Leonardo DiCaprio', 'Djimon Hounsou', 'Jennifer Connelly', 'Kagiso Kuypers']","552,565",$57.37M
17,White Material,(2009),None,106 min,"Drama, War",6.9,81,"Amidst turmoil and racial conflict in a Francophone African state, a white French woman fights for her coffee crop, her family and ultimately for her life.",Claire Denis,"['Claire Denis', 'Isabelle Huppert', 'Christopher Lambert', 'Isaach De Bankolé', 'Nicolas Duvauchelle']","7,934",$0.30M
18,Gorillas in the Mist: The Story of Dian Fossey,(1988),None,129 min,"Biography, Drama",7,None,"The story ofDian Fossey, a scientist who came to Africa to study the vanishing mountain gorillas, and later fought to protect them.",Michael Apted,"['Michael Apted', 'Sigourney Weaver', 'Bryan Brown', 'Julie Harris', 'John Omirah Miluwi']","27,292",$24.72M
19,Shaka Zulu,(1986),None,300 min,"Action, Biography, Drama",7.7,None,A historical account on the life of the Zulu King Shaka.,Edward Fox,"['Edward Fox', 'Robert Powell', 'Trevor Howard', 'Fiona Fullerton']","3,174",None
20,Searching for Sugar Man,(2012),PG-13,86 min,"Documentary, Biography, Music",8.2,79,"Two South Africans set out to discover what happened to their unlikely musical hero, the mysterious 1970s rock n roller,Rodriguez.",Malik Bendjelloul,"['Malik Bendjelloul', 'Rodriguez', ""Stephen 'Sugar' Segerman"", 'Dennis Coffey', 'Mike Theodore']","69,162",$3.97M
21,Out of Africa,(1985),None,161 min,"Biography, Drama, Romance",7.1,69,"In 20th-century colonial Kenya, a Danish baroness/plantation owner has a passionate love affair with a free-spirited big-game hunter.",Sydney Pollack,"['Sydney Pollack', 'Meryl Streep', 'Robert Redford', 'Klaus Maria Brandauer', 'Michael Kitchen']","80,934",$87.10M
22,Invictus,(2009),PG-13,134 min,"Action, Biography, Drama",7.3,74,"Nelson Mandela, in his first term as President of South Africa, initiates a unique venture to unite the Apartheid-torn land: enlist the national rugby team on a mission to win the 1995 Rugby World Cup.",Clint Eastwood,"['Clint Eastwood', 'Morgan Freeman', 'Matt Damon', 'Tony Kgoroge', 'Patrick Mofokeng']","161,129",$37.49M
23,The English Patient,(1996),R,162 min,"Drama, Romance, War",7.4,87,"At the close of World War II, a young nurse tends to a badly-burned plane crash victim. His past is shown in flashbacks, revealing an involvement in a fateful love affair.",Anthony Minghella,"['Anthony Minghella', 'Ralph Fiennes', 'Juliette Binoche', 'Willem Dafoe', 'Kristin Scott Thomas']","191,932",$78.65M
24,Tears of the Sun,(2003),R,121 min,"Action, Drama, Thriller",6.6,48,A Special-Ops commander leads his team into the Nigerian jungle in order to rescue a doctor who will only join them if they agree to save 70 refugees too.,Antoine Fuqua,"['Antoine Fuqua', 'Bruce Willis', 'Cole Hauser', 'Monica Bellucci', 'Eamonn Walker']","124,040",$43.73M
25,Machine Gun Preacher,(2011),R,129 min,"Action, Biography, Crime",6.7,43,Sam Childersis a former drug-dealing biker tough guy who found God and became a crusader for hundreds of Sudanese children who've been forced to become soldiers.,Marc Forster,"['Marc Forster', 'Gerard Butler', 'Michelle Monaghan', 'Michael Shannon', 'Kathy Baker']","66,848",$0.54M
