,Title,Year,Certification,Time,Genre,Star,Meta,Resume,Director,Actors,Vote,Gross
219,Mississippi Masala,(1991),R,118 min,"Drama, Romance",6.7,78,An ethnic Indian family is expelled from Idi Amin's Uganda in 1972 and lives in Mississippi 17 years later. The dad sues Uganda to get his property back. The grown daughter falls in love with a Black man.,Mira Nair,"['Mira Nair', 'Denzel Washington', 'Sarita Choudhury', 'Roshan Seth', 'Sharmila Tagore']","5,619",$7.31M
220,Heart of Fire,(1997 TV Movie),None,86 min,"Action, Drama",5.6,None,A firefighter helps a child trapped under a truck.,John Power,"['John Power', 'Patrick Duffy', 'Steve Jacobs', 'Troy Winbush', 'Kerry Armstrong']",189,None
221,Kirikou et les bêtes sauvages,(2005),None,75 min,"Animation, Adventure, Family",6.6,76,"Kirikou's Grandfather says that the story of Kirikou and The Witch was too short, so he proceeds to explain more about Kirikou's accomplishments. We find out how little boy became a ...See full summary»",Bénédicte Galup,"['Bénédicte Galup', 'Michel Ocelot', 'Pierre-Ndoffé Sarr', 'Awa Sene Sarr', 'Robert Liensol', 'Marie-Philomène Nga']","1,592",None
222,"Va, vis et deviens",(2005),None,140 min,Drama,7.8,None,A Christian boy escapes to Israel from famine-stricken Ethiopia by pretending to be Jewish.,Radu Mihaileanu,"['Radu Mihaileanu', 'Yaël Abecassis', 'Roschdy Zem', 'Moshe Agazai', 'Moshe Abebe']","6,131",None
223,Terra Sonâmbula,(2007),None,97 min,Drama,6.7,None,"In the midst of Mozambique's devastating civil war, Muidinga, an orphaned refugee, wanders the countryside in search of his mother. His only companion is an elderly storyteller, and the ...See full summary»",Teresa Prata,"['Teresa Prata', 'Nick Lauro Teresa', 'Aladino Jasse', 'Ernesto Lemos Macuacua', 'Filimone Meigos']",256,None
224,The World Unseen,(2007),PG-13,93 min,"Drama, Romance",6.5,None,A drama centered on two women who engage in a dangerous relationship during South Africa's apartheid era.,Shamim Sarif,"['Shamim Sarif', 'Lisa Ray', 'Sheetal Sheth', 'Parvin Dabas', 'Nandana Sen']","4,427",$0.02M
225,Bab el hadid,(1958),None,77 min,"Crime, Drama",7.5,None,A newspaper salesman at the train station in Cairo develops an unhealthy obsession with a woman who sells refreshments.,Youssef Chahine,"['Youssef Chahine', 'Farid Shawqi', 'Hind Rustum', 'Youssef Chahine', 'Hassan el Baroudi']","4,762",None
226,Ahdat sanawovach el-djamr,(1975),None,177 min,Drama,7.4,None,The beginings of the Algerian Revolution as seen through the eyes of a peasant.,Mohammed Lakhdar-Hamina,"['Mohammed Lakhdar-Hamina', 'Yorgo Voyagis', 'Mohammed Lakhdar-Hamina', 'Leila Shenna', 'Cheikh Nourredine']",575,None
227,Hyènes,(1992),None,110 min,"Comedy, Drama",7.4,None,"Dramaan is the most popular man in Colobane, but when a woman from his past, now exorbitantly wealthy, returns to the town, things begin to change.",Djibril Diop Mambéty,"['Djibril Diop Mambéty', 'Mansour Diouf', 'Ami Diakhate', 'Mamadou Mahourédia Gueye', 'Djibril Diop Mambéty']","1,165",$0.02M
228,Samt El Qusur,(1994),None,127 min,Drama,7.4,None,"As she grows up, Alia (the daughter of housemaid Khedija) learns the secrets of the peaceful palace where she and her mother live.",Moufida Tlatli,"['Moufida Tlatli', 'Hind Sabri', 'Ghalya Lacroix', 'Nejia Ouerghi', 'Amel Hedhili']","1,035",None
229,Where Are You Taking Me?,(2010),None,72 min,Documentary,8.9,74,"A high society wedding, bustling city streets, a center for former child soldiers, a nightclub full of music and laughter: these are the many faces of today's Uganda, as wonderfully ...See full summary»",Kimi Takesue,['Kimi Takesue'],55,None
230,God Grew Tired of Us: The Story of Lost Boys of Sudan,(2006),PG,89 min,Documentary,7.9,72,Three young men from Sudan embark on a journey to America after years of wandering Sub-Saharan Africa in search of safety.,Christopher Dillon Quinn,"['Christopher Dillon Quinn', 'Tommy Walker', 'Panther Bior', 'John Bul Dau', 'Nicole Kidman', 'Daniel Abol Pach']","2,855",$0.28M
231,War Dance,(2007),PG-13,105 min,"Documentary, Music, War",7.8,68,Three children living in a displacement camp in northern Uganda compete in their country's national music and dance festival.,Sean Fine,"['Sean Fine', 'Andrea Nix', 'Dominic', 'Nancy', 'Rose', 'Jane Adong']","1,172",$0.11M
232,Musique au poing,(1982),None,54 min,"Documentary, Music",7.7,None,"FELA KUTIis to African music what Bob Marley is to reggae: its prophet. All contemporary forms of black music, from funk to electronic, owe something to the irresistible groove of the ...See full summary»",Jean-Jacques Flori,"['Jean-Jacques Flori', 'Stéphane Tchalgadjieff', 'Fela Kuti', 'Martin Luther King', 'Pope John Paul II']",216,None
233,Darwin's Nightmare,(2004),None,107 min,Documentary,7.5,84,"A documentary on the effect of fishing the Nile perch in Tanzania's Lake Victoria. The predatory fish, which has wiped out the native species, is sold in European supermarkets, while starving Tanzanian families have to make do with the leftovers.",Hubert Sauper,"['Hubert Sauper', ""Elizabeth 'Eliza' Maganga Nsese"", 'Raphael Tukiko Wagara', 'Dimond Remtulia', 'Marcus Nyoni']","5,562",$0.20M
234,Kirikou et la sorcière,(1998),None,71 min,"Animation, Adventure, Family",7.5,77,"In a troubled African village, an unusual baby is born.",Michel Ocelot,"['Michel Ocelot', 'Raymond Burlet', 'Doudou Gueye Thiaw', ""Maimouna N'Diaye"", 'Awa Sene Sarr', 'Robert Liensol']","10,009",$0.06M
235,La noire de...,(1966),None,65 min,Drama,7.4,72,A black girl from Senegal becomes a servant in France.,Ousmane Sembene,"['Ousmane Sembene', 'Mbissine Thérèse Diop', 'Anne-Marie Jelinek', 'Robert Fontaine', 'Momar Nar Sene']","4,893",None
236,Beat the Drum,(2003),None,114 min,Drama,7.1,None,"Young Musa is orphaned after a mysterious illness strikes his village in KwaZulu Natal. To help his grandmother, Musa sets out for Johannesburg with his father's last gift, a tribal drum, ...See full summary»",David Hickson,"['David Hickson', 'Junior Singo', 'Owen Sejake', 'Mary Twala', 'Clive Scott']",698,None
237,Lumumba,(2000),None,115 min,"Biography, Drama, History",7.2,78,"The true story of controversial leader of independent Congo, Patrice Lumumba.",Raoul Peck,"['Raoul Peck', 'Eriq Ebouaney', 'Alex Descas', 'Théophile Sowié', 'Maka Kotto']","1,981",$0.68M
238,Borom sarret,(1963),None,20 min,"Short, Drama",7.2,None,"Boron Sarret is arguably the first film made by a black African. It illustrates poverty in Senegal, particularly for the working man",Ousmane Sembene,"['Ousmane Sembene', 'Ly Abdoulay', 'Albourah']","1,286",None
239,Casa de Lava,(1994),None,110 min,Drama,6.9,None,"The film tells a story of Mariana, a nurse who leaves Lisbon to accompany an immigrant worker in a comatose sleep on his trip home to Cape Verde. The devoted Portuguese nurse took a journey only to find herself lost in abstract drama.",Pedro Costa,"['Pedro Costa', 'Inês de Medeiros', 'Isaach De Bankolé', 'Edith Scob', 'Pedro Hestnes']","1,019",None
240,Ceddo,(1977),None,120 min,Drama,6.7,None,"In protest of forced conversion to Islam, the Ceddo (outsiders) kidnap King Demba War's daughter Princess Dior Yacine and hold her hostage.",Ousmane Sembene,"['Ousmane Sembene', 'Tabata Ndiaye', 'Alioune Fall', 'Moustapha Yade', 'Matoura Dia']",944,None
241,Nirgendwo in Afrika,(2001),R,141 min,"Biography, Drama, History",7.5,72,A German Jewish refugee family moves to and adjusts to a farm life in 1930s Kenya.,Caroline Link,"['Caroline Link', 'Juliane Köhler', 'Merab Ninidze', 'Matthias Habich', 'Sidede Onyulo']","13,454",$6.17M
242,Adú,(2020),None,119 min,Drama,6.8,None,"Three people, three stories, one thing in common: Africa.",Salvador Calvo,"['Salvador Calvo', 'Luis Tosar', 'Álvaro Cervantes', 'Anna Castillo', 'Moustapha Oumarou']","5,055",None
243,Trees of Peace,(2021),None,97 min,Drama,6.4,None,"In April of 1994, four women from different backgrounds and beliefs are trapped and hiding during the Genocide Against the Tutsi in Rwanda. Their fight for survival against all odds unites the women in an unbreakable sisterhood.",Alanna Brown,"['Alanna Brown', 'Eliane Umuhire', 'Charmaine Bingwa', 'Ella Cannon', 'Bola Koleosho']","1,438",None
